Timestamp	Longitude	Latitude	Operatorname	NetworkTech	Level	Speed	Altitude	Filemark
2023.10.15_15.38.09	-46.49473	-23.61286	TIM	4G	-76	53	852	
2023.10.15_15.38.10	-46.49486	-23.61292	TIM	4G	-91	53	853	
2023.10.15_15.38.11	-46.49496	-23.61302	TIM	4G	-91	52	854	
2023.10.15_15.38.12	-46.49507	-23.61310	TIM	4G	-94	52	855	
2023.10.15_15.38.13	-46.49516	-23.61320	TIM	5G	-94	53	855	
2023.10.15_15.38.14	-46.49525	-23.61330	TIM	5G	-94	51	856	
2023.10.15_15.38.14	-46.49525	-23.61330	TIM	5G	-94	51	856	
2023.10.15_15.38.15	-46.49534	-23.61341	TIM	5G	-81	51	856	
2023.10.15_15.38.16	-46.49542	-23.61352	TIM	5G	-94	52	856	
2023.10.15_15.38.16	-46.49542	-23.61352	TIM	5G	-80	52	856	
2023.10.15_15.38.17	-46.49550	-23.61364	TIM	5G	-80	53	856	
2023.10.15_15.38.18	-46.49560	-23.61374	TIM	5G	-80	55	855	
2023.10.15_15.38.19	-46.49569	-23.61385	TIM	5G	-80	55	854	
2023.10.15_15.38.20	-46.49580	-23.61395	TIM	5G	-75	54	853	
2023.10.15_15.38.21	-46.49591	-23.61403	TIM	5G	-75	52	853	
2023.10.15_15.38.22	-46.49604	-23.61410	TIM	5G	-78	52	852	
2023.10.15_15.38.23	-46.49617	-23.61415	TIM	5G	-78	53	853	
2023.10.15_15.38.24	-46.49632	-23.61419	TIM	5G	-78	53	853	
2023.10.15_15.38.25	-46.49646	-23.61420	TIM	5G	-84	53	854	
2023.10.15_15.38.26	-46.49661	-23.61421	TIM	5G	-84	51	855	
2023.10.15_15.38.27	-46.49676	-23.61420	TIM	5G	-84	53	854	
2023.10.15_15.38.28	-46.49691	-23.61418	TIM	5G	-82	52	855	
2023.10.15_15.38.29	-46.49704	-23.61418	TIM	5G	-82	52	854	
2023.10.15_15.38.30	-46.49718	-23.61416	TIM	5G	-82	51	854	
2023.10.15_15.38.31	-46.49734	-23.61416	TIM	5G	-82	55	855	
2023.10.15_15.38.32	-46.49750	-23.61416	TIM	5G	-82	58	854	
2023.10.15_15.38.33	-46.49766	-23.61416	TIM	5G	-82	58	855	
2023.10.15_15.38.34	-46.49784	-23.61417	TIM	5G	-86	62	856	
2023.10.15_15.38.35	-46.49802	-23.61417	TIM	5G	-86	65	857	
2023.10.15_15.38.36	-46.49820	-23.61419	TIM	5G	-86	68	856	
2023.10.15_15.38.37	-46.49837	-23.61422	TIM	5G	-88	68	858	
2023.10.15_15.38.38	-46.49857	-23.61425	TIM	5G	-88	69	858	
2023.10.15_15.38.39	-46.49874	-23.61427	TIM	5G	-88	66	858	
2023.10.15_15.38.40	-46.49891	-23.61430	TIM	5G	-88	65	858	
2023.10.15_15.38.40	-46.49891	-23.61430	TIM	4G	-81	65	858	
2023.10.15_15.38.41	-46.49908	-23.61433	TIM	4G	-81	64	858	
2023.10.15_15.38.42	-46.49925	-23.61435	TIM	4G	-81	63	857	
2023.10.15_15.38.43	-46.49941	-23.61438	TIM	4G	-87	61	857	
2023.10.15_15.38.44	-46.49956	-23.61441	TIM	4G	-88	57	857	
2023.10.15_15.38.44	-46.49956	-23.61441	TIM	5G	-88	57	857	
2023.10.15_15.38.45	-46.49968	-23.61442	TIM	5G	-88	49	858	
2023.10.15_15.38.46	-46.49982	-23.61444	TIM	5G	-88	49	859	
2023.10.15_15.38.47	-46.49996	-23.61446	TIM	5G	-93	52	859	
2023.10.15_15.38.48	-46.50011	-23.61447	TIM	5G	-93	54	860	
2023.10.15_15.38.48	-46.50011	-23.61447	TIM	5G	-93	54	860	
2023.10.15_15.38.50	-46.50023	-23.61450	TIM	5G	-93	36	861	
